path,count,first_seen,last_seen,status,sample_ip
/%252fconfiguration.php,4,2026-08-24T12:11:18+00:00,2026-09-05T03:44:53+00:00,404,172.71.127.17
/%252fconsole%252f.env,4,2026-08-24T12:11:18+00:00,2026-09-05T03:44:53+00:00,404,172.71.127.18
/%252fcontrol%252f.env,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:54+00:00,404,172.71.127.17
/%252fcore%252f.env,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:54+00:00,404,172.71.127.17
/%252fcore%252finfo.php,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:55+00:00,404,172.71.127.17
/%252fcore%252fphpinfo.php,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:55+00:00,404,172.71.127.17
/%252fcustomer%252f.env,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:56+00:00,404,172.71.127.17
/%252fcustomers%252f.env,4,2026-08-24T12:11:19+00:00,2026-09-05T03:44:56+00:00,404,172.71.127.17
/%252fdatabase%252f.env,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:56+00:00,404,172.71.127.17
/%252fdatabase.php,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:57+00:00,404,172.71.127.18
/%252fdb%252f.env,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:57+00:00,404,172.71.127.18
